  Stnr Navn                  Hoh  Kommune    Fylke    Region        
  4780 GARDERMOEN             202 ULLENSAKER AKERSHUS OSTLANDET    
 19710 ASKER                  163 ASKER      AKERSHUS OSTLANDET
 36200 TORUNGEN_FYR            12 ARENDAL    AUST-AGDER AGDER  
 40880 HOVDEN_LUNDANE         841 BYKLE   AUST-AGDER AGDER 
 24960 GOL_STAKE              542 GOL       BUSKERUD OSTLANDET      
 28380 KONGSBERG_BRANNSTASJON 170 KONGSBERG BUSKERUD OSTLANDET  
 93140 ALTA_LUFTHAVN          3 ALTA      FINNMARK NORD-NORGE 
 98400 MAKKAUR_FYR            9 BAATSFJORD FINNMARK NORD-NORGE   
  700  DREVSJO              672 ENGERDAL HEDMARK OSTLANDET        
 7010  RENA_HAUGEDALEN      240 AAMOT     HEDMARK OSTLANDET
 25830 FINSEVATN           1210 ULVIK   HORDALAND VESTLANDET  
 50540 BERGEN_FLORIDA        12 BERGEN  HORDALAND VESTLANDET    
 59680 ORSTA-VOLDA_LUFTHAVN  74 ORSTA        MORE_OG_ROMSDAL VESTLANDET        
 64330 KRISTIANSUND_LUFTHAVN 62 KRISTIANSUND MORE_OG_ROMSDAL VESTLANDET  
 99710 BJORNOYA              16 BJORNOYA    SVALBARD  NORGE  
 99840 SVALBARD_LUFTHAVN     28 SPITSBERGEN SVALBARD  NORGE              
 99950 JAN_MAYEN             10 JAN_MAYEN   JAN_MAYEN NORGE 
 84970 EVENES_LUFTHAVN       26 EVENES  NORDLAND NORD-NORGE      
 87110 ANDOYA                10 ANDOY   NORDLAND NORD-NORGE 
 69960 BURAN                182 LEVANGER NORD-TRONDELAG TRONDELAG    
 75220 RORVIK_LUFTHAVN        4 VIKNA    NORD-TRONDELAG TRONDELAG              
 12680 LILLEHAMMER          240 LILLEHAMMER OPPLAND OSTLANDET                    
 16270 HOVRINGEN            935 SEL         OPPLAND OSTLANDET    
 44640 STAVANGER_VAALAND      72 STAVANGER ROGALAND VESTLANDET            
 47300 UTSIRA_FYR            55 UTSIRA    ROGALAND VESTLANDET 
 53950 AURLAND_OYESTOL      973 AURLAND SOGN_OG_FJORDANE VESTLANDET                  
 59450 STADLANDET            75 SELJE   SOGN_OG_FJORDANE VESTLANDET       
 30420 SKIEN_GEITERYGGEN    136 SKIEN   TELEMARK OSTLANDET         
 34130 JOMFRULAND             5 KRAGERO TELEMARK OSTLANDET                 
 88690 HEKKINGEN_FYR         14 LENVIK  TROMS NORD-NORGE 
 90450 TROMSO               100 TROMSO  TROMS NORD-NORGE 
 39100 OKSOY_FYR              9 KRISTIANSAND VEST-AGDER AGDER   
 39200 KRISTIANSAND_KVADRATUREN 25 KRISTIANSAND VEST-AGDER AGDER         
 27500 FERDER_FYR             6 TJOME   VESTFOLD OSTLANDET               
 30000 LARVIK                28 LARVIK  VESTFOLD OSTLANDET  
  1080 HVALER                17 HVALER    OSTFOLD OSTLANDET       
  3190 SARPSBORG             57 SARPSBORG OSTFOLD OSTLANDET      
 18700 OSLO_BLINDERN         94 OSLO OSLO OSTLANDET
 18950 TRYVANNSHOGDA        514 OSLO OSLO OSTLANDET
